"Tipo","Bandera","Desplazamiento","Potencia","Velocidad"
"Diésel-Eléctrico","EE.UU.",7800,210,33
"Turbina-Marina","Rusia",13800,190,31
"Híbrido","Francia",2670,150,25
"Diésel-Dual","Reino-Unido",7400,215,32
"Diésel-Eléctrico","India",10000,200,30
"Híbrido","Francia",7942,170,26
"Híbrido","India",10624,209,30
"Diésel-Eléctrico","EE.UU.",10645,218,27
"Diésel-Dual","EE.UU.",8488,164,30
"Híbrido","Reino-Unido",7659,163,28
"Híbrido","India",9214,181,30
"Diésel-Dual","Reino-Unido",9130,189,26
"Diésel-Eléctrico","Francia",9234,175,26
"Turbina-Marina","Reino-Unido",11049,213,28
"Turbina-Marina","Reino-Unido",7129,155,34
