"Tipo","Bandera","Desplazamiento","Potencia","Velocidad"
"PWR","EE.UU.",7800,210,33
"OK-650","Rusia",13800,190,31
"K15","Francia",2670,150,25
"PWR","Reino Unido",7400,215,32
"S5W","India",10000,200,30
"K15","Francia",7942,170,26
"K15","India",10624,209,30
"S5W","EE.UU.",10645,218,27
"PWR","EE.UU.",8488,164,30
"K15","Reino Unido",7659,163,28
"K15","India",9214,181,30
"PWR","Reino Unido",9130,189,26
"S5W","Francia",9234,175,26
"OK-650","Reino Unido",11049,213,28
"OK-650","Reino Unido",7129,155,34
